Product Name,Ingredients,Allergens,Serving Size,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Total Sugars,Added Sugars,Protein,Brand,Price,Total Mass,SerVings Per Container,Spesific,Ticket,Type,Drink Eat,Fresh
"Pringles Potato Crisps, Original","Dried Potatoes, VEgetable Oil (Corn Oil, Cottonseed Oil, High Oleic Soybean Oil, And Or Sunflower Oil), Degerminated Yellow Corn Flour, Cornstarch, Rice Flour, Maltodextrin, Mono- And Diglycerides, Salt, Wheat Starch.",Wheat,28,150,9,2.5,0,0,150,16,0,0,1,Pringles,2.71,149,5,"crispy, salty",MW,"Vegan , Vegetarian , Pescatarian",E,F 
"Lay's Potato Chips, Classic","Potatoes, VEgetable Oil (Canola Oil, Corn Oil, Soybean Oil, And/Or Sunflower Oil), And Salt.",N,28.3,160,10,1.5,0,0,170,15,1,0,2,Lay's,0.55,28,1,"Crispy, salty",MW,"Vegan , Vegetarian , Pescatarian",E,F
"Cheetos Crunchy Cheese FlaVored Snacks, Regular","Enriched Corn Meal (Corn Meal, Ferrous Sulfate, Niacin, Thiamin Mononitrate, RiboflaVin, Folic Acid), VEgetable Oil (Corn Oil, Canola Oil, And Or Sunflower Oil), Cheese Seasoning (Whey, Cheddar Cheese [Milk, Cheese Cultures, Salt, Enzymes), Canola Oil, Maltodextrin [Made From Corn), Natural And Artificial FlaVors, Salt, Whey Protein Concentrate, Monosodium Glutamate, Lactic Acid, Citric Acid, Artificial Color [Yellow 6)), And Salt","Dairy, Milk",28,160,10,1.5,0,0,250,15,1,0,2,Cheetos,3.87,241,9,"cheesy , crispy",GF,"Vegetarian , Pescatarian",E,F
"Fritos Corn Chips, The Original","Corn, VEgetable Oil (Corn Oil And/Or Canola Oil), And Salt.",N,28,160,10,1.5,0,0,170,16,0,0,2,Fritos,5.75,262,9,"crispy, corn","MW, GF","Vegan , Vegetarian , Pescatarian",E,F
"Sensible Portions Garden VEggie Straws VEgetable and Potato Snack, Sea Salt","Potato Starch, Potato Flour, Expeller Pressed Canola Oil And Or Safflower Oil And Or Sunflower Oil, Spinach Powder, Tomato Paste, Salt, Cane Sugar, Corn Starch, Potassium Chloride, Turmeric (Color), Beetroot Powder (Color), Sea Salt.",N,28,130,7,1,0,0,220,17,1,0,1,Sensible Portions,3.87,141,5,"crispy ,salty","MW, GF","Vegan , Vegetarian , Pescatarian",E,F
"Cape Cod Potato Chips, Sweet , Spicy Jalapeno, Kettle Cooked","Potatoes, VEgetable Oil (Contains One Or More Of The Following: Canola Oil, Safflower Oil, And/Or Sunflower Oil), Dextrose, Salt, Sugar, Onion Powder, Maltodextrin, Torula Yeast, Jalapeno Pepper Powder, Garlic Powder, Yeast Extract, Green Bell Pepper Powder, Citric Acid, Natural FlaVor, Spice, Dry Vinegar, Paprika Extract.",N,28,140,7,0.5,0,0,260,17,1,0,1,Cape Cod ,5.31,226,8,"crispy, spicy, sweet","MW, GF","Vegan , Vegetarian , Pescatarian",E,F
"Lay's Potato Chips, Sweet Southern Heat Barbecue FlaVored","Potatoes, VEgetable Oil (Canola oil, Corn oil , Soybean oil And Or Sunflower Oil), Sugar, Salt, Natural FlaVors, Onion Powder, Maltodextrin (Made From Corn), Tomato Powder, Spices, Cream, Skim Milk, Paprika, Garlic Powder, Cheddar Cheese (Milk, Cheese Cultures, Salt, Enzymes), Whey, And Yeast Extract.","Dairy, Milk",28,150,9,1.5,0,0,150,16,2,1,2,Lay's,5.09,219,7,"crispy, sweet, cheesy, spiscy",NO,"Vegetarian , Pescatarian",E,F
"Alyssas Oatmeal Bites, Healthy","Gluten Free Whole Grain Rolled Oats, Ground Whole Oats, Oat Bran, Chicory Root Fiber, Egg Whites, Dried Fruits (Cranberries, Black Currants, Unsweetened Coconut, Dates), Organic Palm Fruit Oil, Filtered Water, Organic Coconut Oil, Ground Flax Seeds, Natural FlaVors, Vanilla Extract, Chia Seeds, Baking Soda, Cinnamon.",Coconat,43,90,3,0.5,0,0,10,14,2,0,4,Alyssas,5.09,170,4,sweet,"MW, GF","Vegetarian , Pescatarian",E,T
"Alyssas VEgan Bites, Healthy","Gluten Free Whole Grain Rolled Oats, Ground Whole Oats, Oat Bran, Chicory Root Fiber, Dried Fruits (Cranberries, Black Currants, Unsweetened Coconut, Dates), Organic Palm Fruit Oil, Filtered Water, Organic Coconut Oil, Ground Flax Seeds, Natural FlaVors, Vanilla Extract, Psyllium Husk, Chia Seeds, Baking Soda, Cinnamon.",N,43,90,3,0.5,0,0,10,14,2,0,4,Alyssas,5.09,170,4,sweet,"MW, GF","Vegan , Vegetarian , Pescatarian",E,T
"Chips Ahoy! Cookies, Mini","Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate (Vitamin B1), RiboflaVin (Vitamin B2), Folic Acid), Sugar, Soybean Oil And/Or Canola Oil, Palm And Palm Kernel Oil, Cocoa (Processed With Alkali), High Fructose Corn Syrup, Salt, Dextrose, Baking Soda, Milk, Soy Lecithin, Natural And Artificial FlaVor, Caramel Color."," Wheat, Milk, Soy.",29,140,7,1.5,0,0,80,19,8,8,1,Chips Ahoy,1.11,85,3,sweet,BC,"Vegetarian , Pescatarian",E,F 
